Average_Cost_for_two,Table_booking,Online_delivery,delivering_now,Price_range,Aggregate_rating,Rating_color,Rating_text,Votes
25,No,No,No,2,4.5,Dark Green,Excellent,879
70,No,No,No,4,3.9,Yellow,Good,379
10,No,No,No,1,4.3,Green,Very Good,303
70,No,No,No,4,4.1,Green,Very Good,538
10,No,No,No,1,4.2,Green,Very Good,334
25,No,No,No,2,4.3,Green,Very Good,555
10,No,No,No,1,4.4,Green,Very Good,823
25,No,No,No,2,4.1,Green,Very Good,550
25,No,No,No,2,4.4,Green,Very Good,650
10,No,No,No,1,4.3,Green,Very Good,410
10,No,No,No,1,4.4,Green,Very Good,660
25,No,No,No,2,4.4,Green,Very Good,360
40,No,No,No,3,4,Green,Very Good,340
25,No,No,No,2,4.1,Green,Very Good,393
10,No,No,No,1,4.3,Green,Very Good,422
40,No,No,No,3,4,Green,Very Good,435
25,No,No,No,2,4,Green,Very Good,369
40,No,No,No,3,4.4,Green,Very Good,487
40,No,No,No,3,3.7,Yellow,Good,98
40,No,No,No,3,4.1,Green,Very Good,365
10,No,No,No,1,4.1,Green,Very Good,190
40,No,No,No,3,4.1,Green,Very Good,429
25,No,No,No,2,4.4,Green,Very Good,430
25,No,No,No,2,4.2,Green,Very Good,186
10,No,No,No,1,4.2,Green,Very Good,220
10,No,No,No,1,4.2,Green,Very Good,347
25,No,No,No,2,3.8,Yellow,Good,161
25,No,No,No,2,4.1,Green,Very Good,160
10,No,No,No,1,4.9,Dark Green,Excellent,820
10,No,No,No,1,4.5,Dark Green,Excellent,488
25,No,No,No,2,3.6,Yellow,Good,253
40,No,No,No,3,3.8,Yellow,Good,220
25,No,No,No,2,4.3,Green,Very Good,485
40,No,No,No,3,4.3,Green,Very Good,428
25,No,No,No,2,4.1,Green,Very Good,294
40,No,No,No,3,4,Green,Very Good,380
25,No,No,No,2,4.2,Green,Very Good,259
25,No,No,No,2,4.7,Dark Green,Excellent,433
25,No,No,No,2,3.7,Yellow,Good,176
10,No,No,No,1,4.3,Green,Very Good,96
25,No,No,No,2,3.1,Orange,Average,6
10,No,No,No,1,3.3,Orange,Average,33
25,No,No,No,2,4.6,Dark Green,Excellent,489
25,No,No,No,2,4.5,Dark Green,Excellent,345
25,No,No,No,2,3.8,Yellow,Good,149
25,No,No,No,2,3.9,Yellow,Good,330
40,No,No,No,3,3.9,Yellow,Good,247
10,No,No,No,1,3.7,Yellow,Good,123
40,No,No,No,3,3.6,Yellow,Good,109
40,No,No,No,3,3.7,Yellow,Good,134
40,No,No,No,3,4.2,Green,Very Good,722
25,No,No,No,2,4.3,Green,Very Good,213
25,No,No,No,2,4,Green,Very Good,335
25,No,No,No,2,4,Green,Very Good,353
0,No,No,No,1,4,Green,Very Good,170
25,No,No,No,2,4.1,Green,Very Good,192
40,No,No,No,3,4.1,Green,Very Good,302
10,No,No,No,1,4.2,Green,Very Good,355
25,No,No,No,2,4.3,Green,Very Good,287
40,No,No,No,3,4,Green,Very Good,264
40,No,No,No,3,4.4,Green,Very Good,235
25,No,No,No,2,3,Orange,Average,6
25,No,No,No,2,3.7,Yellow,Good,38
10,No,No,No,1,4.4,Green,Very Good,122
25,No,No,No,2,4.4,Green,Very Good,207
10,No,No,No,1,3.9,Yellow,Good,66
10,No,No,No,1,4.9,Dark Green,Excellent,249
25,No,No,No,2,3.8,Yellow,Good,63
40,No,No,No,3,3.8,Yellow,Good,145
10,No,No,No,1,3.8,Yellow,Good,83
25,No,No,No,2,3.7,Yellow,Good,116
10,No,No,No,1,4.1,Green,Very Good,122
10,No,No,No,1,4.1,Green,Very Good,142
10,No,No,No,1,4.1,Green,Very Good,114
25,No,No,No,2,4.6,Dark Green,Excellent,214
10,No,No,No,1,4.3,Green,Very Good,116
25,No,No,No,2,4.2,Green,Very Good,111
10,No,No,No,1,3.7,Yellow,Good,25
10,No,No,No,1,4.1,Green,Very Good,128
10,No,No,No,1,4.3,Green,Very Good,244
10,No,No,No,1,4.2,Green,Very Good,112
10,No,No,No,1,4.1,Green,Very Good,144
25,No,No,No,2,4.6,Dark Green,Excellent,166
40,No,No,No,3,4.5,Dark Green,Excellent,208
25,No,No,No,2,3.9,Yellow,Good,136
10,No,No,No,1,4,Green,Very Good,85
25,No,No,No,2,4.1,Green,Very Good,117
25,No,No,No,2,3.4,Orange,Average,53
25,No,No,No,2,4.9,Dark Green,Excellent,474
10,No,No,No,1,3.9,Yellow,Good,125
70,No,No,No,4,3.7,Yellow,Good,201
25,No,No,No,2,0,White,Not rated,2
25,No,No,No,2,0,White,Not rated,3
0,No,No,No,1,4.3,Green,Very Good,167
25,No,No,No,2,4,Green,Very Good,112
25,No,No,No,2,4.1,Green,Very Good,256
10,No,No,No,1,4.3,Green,Very Good,123
25,No,No,No,2,4,Green,Very Good,199
25,No,No,No,2,4.1,Green,Very Good,157
25,No,No,No,2,4.1,Green,Very Good,100
40,No,No,No,3,4.2,Green,Very Good,141
25,No,No,No,2,4.2,Green,Very Good,197
25,No,No,No,2,4.5,Dark Green,Excellent,1025
25,No,No,No,2,4.9,Dark Green,Excellent,570
40,No,No,No,3,4.5,Dark Green,Excellent,674
25,No,No,No,2,4.1,Green,Very Good,496
25,No,No,No,2,4,Green,Very Good,411
25,No,No,No,2,3.2,Orange,Average,113
40,No,No,No,3,4.5,Dark Green,Excellent,1109
25,No,No,No,2,4.6,Dark Green,Excellent,728
10,No,No,No,1,4.4,Green,Very Good,659
40,No,No,No,3,4.2,Green,Very Good,370
40,No,No,No,3,4.3,Green,Very Good,532
25,No,No,No,2,4.8,Dark Green,Excellent,860
10,No,No,No,1,4.2,Green,Very Good,943
70,No,No,No,4,4.1,Green,Very Good,476
10,No,No,No,1,4.1,Green,Very Good,218
10,No,No,No,1,4,Green,Very Good,214
25,No,No,No,2,4.3,Green,Very Good,699
25,No,No,No,2,3.8,Yellow,Good,308
25,No,No,No,2,4,Green,Very Good,157
40,No,No,No,3,4.2,Green,Very Good,530
7,No,No,No,1,3.6,Yellow,Good,29
10,No,No,No,1,3.4,Orange,Average,33
25,No,No,No,2,3.3,Orange,Average,40
10,No,No,No,1,3.4,Orange,Average,153
25,No,No,No,2,3.3,Orange,Average,65
25,No,No,No,2,3.4,Orange,Average,58
25,No,No,No,2,3.5,Yellow,Good,100
10,No,No,No,1,3.6,Yellow,Good,156
0,No,No,No,1,3.5,Yellow,Good,74
25,No,No,No,2,3.6,Yellow,Good,117
40,No,No,No,3,3.7,Yellow,Good,83
25,No,No,No,2,3.6,Yellow,Good,48
40,No,No,No,3,3.8,Yellow,Good,198
10,No,No,No,1,3.5,Yellow,Good,126
10,No,No,No,1,3.5,Yellow,Good,119
25,No,No,No,2,3.6,Yellow,Good,140
40,No,No,No,3,3.6,Yellow,Good,159
25,No,No,No,2,3.6,Yellow,Good,131
10,No,No,No,1,3.5,Yellow,Good,60
25,No,No,No,2,3.7,Yellow,Good,89
70,No,No,No,4,3.6,Yellow,Good,72
20,No,No,No,2,4.1,Green,Very Good,56
10,No,No,No,1,3.7,Yellow,Good,83
30,No,No,No,3,3.5,Yellow,Good,37
20,No,No,No,2,3.7,Yellow,Good,29
25,No,No,No,2,4.4,Green,Very Good,239
10,No,No,No,1,4.1,Green,Very Good,235
25,No,No,No,2,3.8,Yellow,Good,88
40,No,No,No,3,3.9,Yellow,Good,209
10,No,No,No,1,3.9,Yellow,Good,133
10,No,No,No,1,4.4,Green,Very Good,267
25,No,No,No,2,4.1,Green,Very Good,171
25,No,No,No,2,3.8,Yellow,Good,107
40,No,No,No,3,4.3,Green,Very Good,164
10,No,No,No,1,4.1,Green,Very Good,182
25,No,No,No,2,4.9,Dark Green,Excellent,681
10,No,No,No,1,4.6,Dark Green,Excellent,357
25,No,No,No,2,3.8,Yellow,Good,89
25,No,No,No,2,4.2,Green,Very Good,350
10,No,No,No,1,4.3,Green,Very Good,298
25,No,No,No,2,4.2,Green,Very Good,319
40,No,No,No,3,3.8,Yellow,Good,114
10,No,No,No,1,3.9,Yellow,Good,136
25,No,No,No,2,2.2,Red,Poor,108
10,No,No,No,1,4,Green,Very Good,161
20,No,No,No,2,3.8,Yellow,Good,192
7,No,No,No,1,3.8,Yellow,Good,93
20,No,No,No,2,4.1,Green,Very Good,40
7,No,No,No,1,3.7,Yellow,Good,100
7,No,No,No,1,3.8,Yellow,Good,97
10,No,No,No,1,3.6,Yellow,Good,41
25,No,No,No,2,4.5,Dark Green,Excellent,799
20,No,No,No,2,3.6,Yellow,Good,18
20,No,No,No,2,3.5,Yellow,Good,31
25,No,No,No,2,3.9,Yellow,Good,146
10,No,No,No,1,4.9,Dark Green,Excellent,478
25,No,No,No,2,4.6,Dark Green,Excellent,467
25,No,No,No,2,4.5,Dark Green,Excellent,302
25,No,No,No,2,4.5,Dark Green,Excellent,289
40,No,No,No,3,3.8,Yellow,Good,102
40,No,No,No,3,4.1,Green,Very Good,293
70,No,No,No,4,4,Green,Very Good,195
10,No,No,No,1,4.3,Green,Very Good,244
70,No,No,No,4,4.2,Green,Very Good,379
10,No,No,No,1,4.2,Green,Very Good,223
25,No,No,No,2,3.7,Yellow,Good,243
25,No,No,No,2,3.7,Yellow,Good,104
10,No,No,No,1,3.7,Yellow,Good,153
25,No,No,No,2,3.8,Yellow,Good,323
10,No,No,No,1,4.1,Green,Very Good,181
25,No,No,No,2,4,Green,Very Good,316
25,No,No,No,2,4.2,Green,Very Good,288
10,No,No,No,1,4,Green,Very Good,232
40,No,No,No,3,4.1,Green,Very Good,314
20,No,No,No,2,2.9,Orange,Average,11
10,No,No,No,1,2.4,Red,Poor,17
30,No,No,No,3,3.8,Yellow,Good,176
0,No,No,No,1,3.4,Orange,Average,11
25,No,No,No,2,3.6,Yellow,Good,65
30,No,No,No,3,2.4,Red,Poor,193
40,No,No,No,3,3.6,Yellow,Good,30
40,No,No,No,3,4.4,Green,Very Good,981
45,No,No,No,3,4.5,Dark Green,Excellent,1151
35,No,No,No,3,4.7,Dark Green,Excellent,1341
50,No,No,No,4,4.3,Green,Very Good,782
40,No,No,No,3,4.6,Dark Green,Excellent,1293
100,No,No,No,4,4.6,Dark Green,Excellent,2324
45,No,No,No,3,4.3,Green,Very Good,910
50,No,No,No,4,4.4,Green,Very Good,886
35,No,No,No,3,4.6,Dark Green,Excellent,1293
10,No,No,No,1,4.4,Green,Very Good,570
60,No,No,No,4,4.4,Green,Very Good,1685
40,No,No,No,3,4.8,Dark Green,Excellent,1699
25,No,No,No,2,4.9,Dark Green,Excellent,1457
35,No,No,No,3,4.9,Dark Green,Excellent,1252
25,No,No,No,2,4.7,Dark Green,Excellent,1412
25,No,No,No,2,3.6,Yellow,Good,432
40,No,No,No,3,4.2,Green,Very Good,568
25,No,No,No,2,4.4,Green,Very Good,797
40,No,No,No,3,4.4,Green,Very Good,1158
40,No,No,No,3,4.4,Green,Very Good,1998
30,No,No,No,3,4.4,Green,Very Good,381
120,No,No,No,4,2.6,Orange,Average,16
20,No,No,No,2,3.4,Orange,Average,19
25,No,No,No,2,4.2,Green,Very Good,635
40,No,No,No,3,4.9,Dark Green,Excellent,2238
10,No,No,No,1,4.6,Dark Green,Excellent,792
10,No,No,No,1,4.5,Dark Green,Excellent,828
40,No,No,No,3,3.7,Yellow,Good,292
25,No,No,No,2,3.9,Yellow,Good,502
25,No,No,No,2,3.7,Yellow,Good,559
25,No,No,No,2,4.2,Green,Very Good,1268
40,No,No,No,3,4.1,Green,Very Good,669
40,No,No,No,3,4.4,Green,Very Good,900
25,No,No,No,2,4.3,Green,Very Good,765
40,No,No,No,3,4,Green,Very Good,1270
25,No,No,No,2,4.1,Green,Very Good,502
40,No,No,No,3,3.9,Yellow,Good,724
40,No,No,No,3,3.5,Yellow,Good,479
25,No,No,No,2,4.2,Green,Very Good,591
40,No,No,No,3,4.4,Green,Very Good,1408
40,No,No,No,3,4.3,Green,Very Good,905
10,No,No,No,1,4.7,Dark Green,Excellent,816
40,No,No,No,3,4.4,Green,Very Good,747
20,No,No,No,2,3.7,Yellow,Good,351
10,No,No,No,1,3.7,Yellow,Good,104
45,No,No,No,3,3.5,Yellow,Good,83
10,No,No,No,1,3.6,Yellow,Good,91
0,No,No,No,1,3.6,Yellow,Good,59
40,No,No,No,3,3.7,Yellow,Good,222
30,No,No,No,3,3.6,Yellow,Good,121
10,No,No,No,1,3.5,Yellow,Good,93
10,No,No,No,1,3.8,Yellow,Good,136
10,No,No,No,1,3.8,Yellow,Good,160
25,No,No,No,2,3.7,Yellow,Good,152
10,No,No,No,1,3.5,Yellow,Good,57
25,No,No,No,2,3.7,Yellow,Good,191
40,No,No,No,3,3.6,Yellow,Good,85
0,No,No,No,1,3.6,Yellow,Good,108
25,No,No,No,2,3.6,Yellow,Good,132
25,No,No,No,2,3.8,Yellow,Good,141
25,No,No,No,2,3.7,Yellow,Good,162
40,No,No,No,3,3.6,Yellow,Good,144
25,No,No,No,2,0,White,Not rated,1
10,No,No,No,1,4.1,Green,Very Good,365
25,No,No,No,2,3.3,Orange,Average,9
70,No,No,No,4,4,Green,Very Good,542
25,No,No,No,2,4.5,Dark Green,Excellent,691
35,No,No,No,3,4.7,Dark Green,Excellent,764
10,No,No,No,1,4.7,Dark Green,Excellent,707
30,No,No,No,3,4.5,Dark Green,Excellent,487
10,No,No,No,1,4.5,Dark Green,Excellent,695
40,No,No,No,3,4.2,Green,Very Good,485
40,No,No,No,3,4.2,Green,Very Good,807
10,No,No,No,1,4.6,Dark Green,Excellent,723
10,No,No,No,1,4.2,Green,Very Good,874
25,No,No,No,2,4.4,Green,Very Good,552
40,No,No,No,3,4.3,Green,Very Good,1056
40,No,No,No,3,4.3,Green,Very Good,707
70,No,No,No,4,4.9,Dark Green,Excellent,1343
10,No,No,No,1,4.9,Dark Green,Excellent,602
40,No,No,No,3,4.6,Dark Green,Excellent,1078
25,No,No,No,2,3.9,Yellow,Good,232
70,No,No,No,4,4.4,Green,Very Good,1492
10,No,No,No,1,4,Green,Very Good,535
70,No,No,No,4,4.2,Green,Very Good,531
25,No,No,No,2,4.2,Green,Very Good,694
40,No,No,No,3,3.3,Orange,Average,1201
40,No,No,No,3,4.7,Dark Green,Excellent,906
10,No,No,No,1,4.6,Dark Green,Excellent,880
40,No,No,No,3,4.5,Dark Green,Excellent,1014
25,No,No,No,2,4.5,Dark Green,Excellent,796
25,No,No,No,2,3.7,Yellow,Good,747
40,No,No,No,3,3.8,Yellow,Good,566
25,No,No,No,2,4.1,Green,Very Good,683
25,No,No,No,2,4.4,Green,Very Good,690
10,No,No,No,1,4.2,Green,Very Good,680
10,No,No,No,1,4.1,Green,Very Good,287
40,No,No,No,3,4.1,Green,Very Good,802
25,No,No,No,2,4.3,Green,Very Good,710
10,No,No,No,1,4.3,Green,Very Good,456
70,No,No,No,4,4,Green,Very Good,687
25,No,No,No,2,4.3,Green,Very Good,719
70,No,No,No,4,4.4,Green,Very Good,1803
70,No,No,No,4,4.1,Green,Very Good,558
40,No,No,No,3,3.8,Yellow,Good,883
10,No,No,No,1,3.9,Yellow,Good,309
300,No,No,No,4,3.4,Orange,Average,34
270,No,No,No,4,4,Green,Very Good,33
500,No,No,No,4,3.8,Yellow,Good,33
80,No,No,No,4,3.1,Orange,Average,34
430,No,No,No,4,3.8,Yellow,Good,35
315,No,No,No,4,3.9,Yellow,Good,33
20,No,No,No,2,4.2,Green,Very Good,29
100,No,No,No,4,4.1,Green,Very Good,35
50,No,No,No,3,3.2,Orange,Average,29
80,No,No,No,4,3.2,Orange,Average,30
40,No,No,No,3,3.7,Yellow,Good,33
30,No,No,No,3,3,Orange,Average,25
220,No,No,No,4,3.8,Yellow,Good,30
300,No,No,No,4,3.9,Yellow,Good,34
60,No,No,No,4,3.1,Orange,Average,33
60,No,No,No,4,3.2,Orange,Average,32
95,No,No,No,4,3.2,Orange,Average,30
50,No,No,No,3,3.8,Yellow,Good,28
40,No,No,No,3,3.9,Yellow,Good,35
75,No,No,No,4,3.2,Orange,Average,33
40,No,No,No,3,3.7,Yellow,Good,100
10,No,No,No,1,3.6,Yellow,Good,92
10,No,No,No,1,3.8,Yellow,Good,182
10,No,No,No,1,3.6,Yellow,Good,76
40,No,No,No,3,3.7,Yellow,Good,129
25,No,No,No,2,3.6,Yellow,Good,94
25,No,No,No,2,3.8,Yellow,Good,129
25,No,No,No,2,3.8,Yellow,Good,178
10,No,No,No,1,3.7,Yellow,Good,97
10,No,No,No,1,3.9,Yellow,Good,161
10,No,No,No,1,3.7,Yellow,Good,122
10,No,No,No,1,3.8,Yellow,Good,195
40,No,No,No,3,3.7,Yellow,Good,146
10,No,No,No,1,3.7,Yellow,Good,117
25,No,No,No,2,3.8,Yellow,Good,187
40,No,No,No,3,3.9,Yellow,Good,239
10,No,No,No,1,4,Green,Very Good,303
40,No,No,No,3,4,Green,Very Good,280
25,No,No,No,2,4,Green,Very Good,271
70,No,No,No,4,3.5,Yellow,Good,58
25,No,No,No,2,4.6,Dark Green,Excellent,1321
25,No,No,No,2,4.6,Dark Green,Excellent,1629
25,No,No,No,2,4.1,Green,Very Good,921
25,No,No,No,2,4.1,Green,Very Good,986
25,No,No,No,2,4.1,Green,Very Good,1020
70,No,No,No,4,4.7,Dark Green,Excellent,3157
40,No,No,No,3,3.9,Yellow,Good,665
70,No,No,No,4,3.9,Yellow,Good,373
25,No,No,No,2,4.4,Green,Very Good,1007
25,No,No,No,2,4.4,Green,Very Good,803
40,No,No,No,3,4.2,Green,Very Good,1363
10,No,No,No,1,4.9,Dark Green,Excellent,1424
40,No,No,No,3,4.5,Dark Green,Excellent,844
40,No,No,No,3,4.9,Dark Green,Excellent,1413
40,No,No,No,3,4.5,Dark Green,Excellent,1203
40,No,No,No,3,4.7,Dark Green,Excellent,3074
40,No,No,No,3,4.8,Dark Green,Excellent,1715
10,No,No,No,1,4.5,Dark Green,Excellent,1868
40,No,No,No,3,4,Green,Very Good,875
40,No,No,No,3,4.4,Green,Very Good,1746
30,No,No,No,3,4.4,Green,Very Good,339
20,No,No,No,2,4.1,Green,Very Good,87
25,No,No,No,2,3.4,Orange,Average,98
25,No,No,No,2,3.1,Orange,Average,83
40,No,No,No,3,3.9,Yellow,Good,231
40,No,No,No,3,3.7,Yellow,Good,216
35,No,No,No,3,3.8,Yellow,Good,185
25,No,No,No,2,3.7,Yellow,Good,185
10,No,No,No,1,3.8,Yellow,Good,281
40,No,No,No,3,3.7,Yellow,Good,137
25,No,No,No,2,3.7,Yellow,Good,209
10,No,No,No,1,3.7,Yellow,Good,168
25,No,No,No,2,3.9,Yellow,Good,243
40,No,No,No,3,3.8,Yellow,Good,221
10,No,No,No,1,3.5,Yellow,Good,46
25,No,No,No,2,3.9,Yellow,Good,262
25,No,No,No,2,3.7,Yellow,Good,183
70,No,No,No,4,3.5,Yellow,Good,208
25,No,No,No,2,3.8,Yellow,Good,245
25,No,No,No,2,3.8,Yellow,Good,199
40,No,No,No,3,3.8,Yellow,Good,225
25,No,No,No,2,4.1,Green,Very Good,575
10,No,No,No,1,4.3,Green,Very Good,88
20,No,No,No,2,3.6,Yellow,Good,96
70,No,No,No,4,4.3,Green,Very Good,204
10,No,No,No,1,3.2,Orange,Average,18
25,No,No,No,2,3.7,Yellow,Good,134
10,No,No,No,1,3.9,Yellow,Good,190
10,No,No,No,1,3.8,Yellow,Good,136
25,No,No,No,2,3.7,Yellow,Good,113
10,No,No,No,1,3.6,Yellow,Good,69
40,No,No,No,3,3.6,Yellow,Good,89
25,No,No,No,2,3.6,Yellow,Good,80
40,No,No,No,3,3.8,Yellow,Good,175
10,No,No,No,1,3.7,Yellow,Good,136
25,No,No,No,2,3.6,Yellow,Good,114
25,No,No,No,2,3.6,Yellow,Good,93
25,No,No,No,2,3.6,Yellow,Good,89
25,No,No,No,2,3.6,Yellow,Good,69
40,No,No,No,3,3.6,Yellow,Good,86
10,No,No,No,1,3.7,Yellow,Good,73
25,No,No,No,2,3.6,Yellow,Good,104
10,No,No,No,1,3.7,Yellow,Good,101
10,No,No,No,1,3.5,Yellow,Good,58
25,No,No,No,2,3.9,Yellow,Good,156
25,No,No,No,2,3.9,Yellow,Good,156
25,No,No,No,2,3.2,Orange,Average,16
25,No,No,No,2,3.3,Orange,Average,26
190,No,No,No,4,4.6,Dark Green,Excellent,207
260,No,Yes,No,4,4.6,Dark Green,Excellent,376
150,Yes,Yes,No,3,4.4,Green,Very Good,471
70,No,No,No,2,4.3,Green,Very Good,224
